PTS,AST,TRB,FG%,MP,Player,Season,MVP
3.3762176072547705,2.1081016711412324,1.0793096877240507,-0.19011735718605677,2.098268908454714,Tracy McGrady,2004,0
3.106544141286389,2.8448526951931803,0.12092030199713918,-0.47231262442641164,2.3649092319315135,Allen Iverson,2004,0
2.735743125579864,1.8247358926597137,4.371168882177355,0.581216373270914,2.0469919231707143,Kevin Garnett,2004,1
2.735743125579864,0.1812143774669058,1.2043169989058216,0.402492704018689,2.1392904966819137,Peja Stojakovic,2004,0
2.702033942333817,1.881409048356017,0.8709641690877654,0.007419329882191991,1.8623947761483148,Kobe Bryant,2004,0
2.533488026103578,1.711389581267106,0.7042877541787372,0.026232347698215683,1.9444379526027145,Ray Allen,2004,0
2.533488026103578,1.881409048356017,1.2876552063603357,-0.33121499080623396,1.9752041437731147,Paul Pierce,2004,0
2.5166334344805543,3.2415647850673066,0.37093492436068115,-0.39706055316231686,2.118779702568314,Baron Davis,2004,0
2.449215067988459,1.711389581267106,0.5792804429969662,-0.19011735718605677,1.9239271584891149,Vince Carter,2004,0
2.415505884742412,0.747945934429943,3.7461323262684996,0.6000293910869378,1.7598408055803152,Tim Duncan,2004,0
2.331232926627292,0.5212533116447282,2.20437548835999,0.2331755436744763,1.8931609673187146,Dirk Nowitzki,2004,0
2.3143783350042684,0.2945606888595131,0.6626186504514804,0.026232347698215683,1.7803515996939148,Michael Redd,2004,0
2.2806691517582207,0.6345996230373354,3.371110392723187,1.38076963045192,1.7803515996939148,Shaquille O'Neal,2004,0
2.1963961936431016,0.5779264673410317,1.1209787914513074,-0.10545877701395016,1.7495854085235152,Carmelo Anthony,2004,0
2.1795416020200773,2.334794293926447,0.8709641690877654,-0.19011735718605677,2.057247320227514,LeBron James,2004,0
2.162687010397054,0.4079070002521206,1.1626478951785646,-0.4252800798863524,1.9444379526027145,Jamal Mashburn,2004,0
2.14583241877403,0.747945934429943,1.0376405839967937,0.0920779100542986,1.6983084232395151,Corey Maggette,2004,0
2.1289778271510063,-0.21549771240722035,2.329382799541761,0.35546015947862974,1.7803515996939148,Amar'e Stoudemire,2004,0
2.061559460658911,4.034988964815559,-0.08742521663914592,-0.05842623247389093,2.1290350996251144,Stephon Marbury,2004,0
2.162687010397054,3.6949500306377367,-0.004087009184631987,-0.04901972356587909,2.2726106584203136,Stephon Marbury,2004,0
1.9941410941668156,4.261681587600774,-0.12909432036640298,-0.05842623247389093,2.0162257320003145,Stephon Marbury,2004,0
2.044704869035887,0.1812143774669058,2.746073836814331,-0.030206705749855393,1.6675422320691156,Jermaine O'Neal,2004,0
2.044704869035887,0.12454122177060202,2.9544193554506166,0.4495252485587482,1.8931609673187146,Zach Randolph,2004,0
2.0278502774128633,0.8612922458225503,2.8710811479961027,0.524777319822843,1.9752041437731147,Elton Brand,2004,0
1.9941410941668156,3.128218473674699,-0.045756112911889045,0.47774477528278375,1.5957544526715155,Sam Cassell,2004,0
1.9604319109207682,1.8247358926597137,0.49594223554245215,-0.4252800798863524,1.8623947761483148,Gilbert Arenas,2004,0
1.8593043611826248,0.5212533116447282,2.4543901107235326,0.026232347698215683,2.180312084909114,Shawn Marion,2004,0
1.8255951779365773,0.35123384455581685,0.7876259616332514,-0.3782475353462932,1.4726896879899156,Larry Hughes,2004,0
1.8087405863135533,0.6345996230373354,1.3709934138148498,0.007419329882191991,1.8623947761483148,Jason Richardson,2004,0
1.8087405863135533,1.5980432698744986,2.20437548835999,-0.22774339281810416,1.7085638202963154,Chris Webber,2004,0
1.7918859946905297,0.6345996230373354,0.45427313181519524,0.05445187442225122,1.9649487467163147,Michael Finley,2004,0
1.7750314030675056,0.12454122177060202,-0.4207780464572022,-0.020800196841843546,1.6983084232395151,Allan Houston,2004,0
1.7750314030675056,1.144658024304069,0.9543023765422796,0.5718098643629023,1.9239271584891149,Richard Jefferson,2004,0
1.7581768114444816,2.0514285154449285,-0.004087009184631987,0.12029743677833414,1.729074614409915,Mike Bibby,2004,0
1.741322219821458,1.0879848686077653,0.7876259616332514,-0.15249132155400938,1.8213731879211152,Metta World Peace,2004,0
1.7076130365754105,0.747945934429943,0.49594223554245215,-0.114865285921962,1.7803515996939148,Stephen Jackson,2004,0
1.6570492617063388,0.23788753316320957,1.2876552063603357,-0.020800196841843546,1.7598408055803152,Rashard Lewis,2004,0
1.6401946700833148,0.4079070002521206,1.78768445108742,0.4213057218347127,1.2368155556835165,Pau Gasol,2004,0
1.6233400784602914,1.2580043356966764,0.07925119826988213,0.16732998131839338,1.6470314379555153,Richard Hamilton,2004,0
1.6064854868372673,-0.15882455671091658,2.329382799541761,0.7975660781551865,1.3701357174219158,Yao Ming,2004,0
1.5727763035912197,1.881409048356017,0.037582094542625066,-0.48171913333442345,1.6060098497283157,Jamal Crawford,2004,0
1.5727763035912197,0.8046190901262468,0.16258940572439606,-0.26536942845015155,1.800862393807515,Eddie Jones,2004,0
1.5559217119681956,0.1812143774669058,1.2459861026330787,-0.3688410264382813,1.6983084232395151,Quentin Richardson,2004,0
1.539067120345172,1.31467749139298,2.62106652563256,-0.06783274138190278,1.8521393790915148,Lamar Odom,2004,0
1.522212528722148,0.12454122177060202,1.4960007249966207,0.14851696350236968,1.6470314379555153,Juwan Howard,2004,0
1.505357937099124,2.2214479825338396,0.037582094542625066,-0.40646706207032873,1.6367760408987153,Chauncey Billups,2004,0
1.4885033454761005,0.9746385572151578,0.16258940572439606,-0.26536942845015155,1.8829055702619144,Latrell Sprewell,2004,0
